"movie_id","movie_title","tomatometer_rating","audience_rating"
"4664","Class of 1984",75,66
"13290","Sick: The Life and Death of Bob Flanagan, Supermasochist",91,88
"13031","Self/Less",19,46
"4075","A Bronx Tale",97,93
"15104","The Hallow (The Woods)",70,43
"14537","The Automatic Hate",67,47
"11613","ParaNorman",89,72
"4212","Cadence",42,70
"10235","Me You Them",75,72
"15215","The Inbetweeners",53,70
"15782","The Secret World of Arrietty",95,85
"7439","Handsome Harry",81,56
"9655","London River",91,67
"9413","Lesbian Vampire Killers",28,32
"462","The General",93,92
